food_type,unqualified_num,check_num,uq_rate
13,80,1596,0.05012531328320802
22,5,66,0.07575757575757576
31,91,731,0.12448700410396715
11,44,151,0.2913907284768212
4,9,16,0.5625
16,67098,2975201,0.02255242586971435
30,337,11968,0.02815842245989305
29,58,152,0.3815789473684211
18,4,66,0.060606060606060615
19,66,154,0.42857142857142855
7,21,78,0.2692307692307692
32,20,70,0.2857142857142857
20,942,39229,0.024012847638226826
14,8,25,0.32
28,74,380,0.19473684210526315
10,1965,118003,0.016652119013923376
24,2,1005,0.001990049751243781
12,3,23,0.13043478260869565
33,4404,72151,0.06103865504289615
5,173,455,0.3802197802197802
1,3,415,0.0072289156626506035
9,6,11969,0.0005012950121146294
3,20101,453145,0.04435886967747631
25,970,55097,0.017605314263934517
15,6,244,0.024590163934426233
0,5497,245611,0.022380919421361417
21,81,1369,0.0591672753834916
27,186,592,0.3141891891891892
6,113,1694,0.0667060212514758
26,7,73,0.0958904109589041
23,9,54,0.16666666666666666
2,108,12053,0.008960424790508587
17,18,40,0.45
8,33,582,0.05670103092783505
